// Output from processing 100 odd messages, when creating 1 subscriber on main thread with MaxConcurrentCalls = 3 

Microsoft.WindowsAzure.ServiceRuntime Information: 100 : Role environment . INITIALIZING
Microsoft.WindowsAzure.ServiceRuntime Information: 100 : Role environment . INITIALED RETURNED. HResult=0
Microsoft.WindowsAzure.ServiceRuntime Information: 101 : Role environment . INITIALIZED
Microsoft.WindowsAzure.ServiceRuntime Information: 200 : Role entrypoint . CALLING   OnStart(): ASBSubscriber.Worker.WorkerRole
WaWorkerHost.exe Information: 0 : Thread 5: ASBSubscriber.Worker has been started
Microsoft.WindowsAzure.ServiceRuntime Information: 202 : Role entrypoint . COMPLETED OnStart(): ASBSubscriber.Worker.WorkerRole
The thread 0x643c has exited with code 0 (0x0).
Microsoft.WindowsAzure.ServiceRuntime Information: 203 : Role entrypoint . CALLING   Run(): ASBSubscriber.Worker.WorkerRole
WaWorkerHost.exe Information: 0 : Thread 19: Processing message with Id 76
WaWorkerHost.exe Information: 0 : Thread 27: Processing message with Id 77
WaWorkerHost.exe Information: 0 : Thread 28: Processing message with Id 78
WaWorkerHost.exe Information: 0 : Thread 24: Processing message with Id 79
WaWorkerHost.exe Information: 0 : Thread 17: Processing message with Id 80
WaWorkerHost.exe Information: 0 : Thread 28: Processing message with Id 81
WaWorkerHost.exe Information: 0 : Thread 27: Processing message with Id 82
WaWorkerHost.exe Information: 0 : Thread 17: Processing message with Id 83
WaWorkerHost.exe Information: 0 : Thread 27: Processing message with Id 84
WaWorkerHost.exe Information: 0 : Thread 17: Processing message with Id 85
WaWorkerHost.exe Information: 0 : Thread 24: Processing message with Id 86
WaWorkerHost.exe Information: 0 : Thread 27: Processing message with Id 87
WaWorkerHost.exe Information: 0 : Thread 29: Processing message with Id 88
WaWorkerHost.exe Information: 0 : Thread 29: Processing message with Id 89
WaWorkerHost.exe Information: 0 : Thread 19: Processing message with Id 90
WaWorkerHost.exe Information: 0 : Thread 29: Processing message with Id 91
WaWorkerHost.exe Information: 0 : Thread 17: Processing message with Id 92
WaWorkerHost.exe Information: 0 : Thread 27: Processing message with Id 93
WaWorkerHost.exe Information: 0 : Thread 17: Processing message with Id 94
WaWorkerHost.exe Information: 0 : Thread 25: Processing message with Id 95
WaWorkerHost.exe Information: 0 : Thread 17: Processing message with Id 96
WaWorkerHost.exe Information: 0 : Thread 24: Processing message with Id 97
WaWorkerHost.exe Information: 0 : Thread 25: Processing message with Id 98
WaWorkerHost.exe Information: 0 : Thread 24: Processing message with Id 99

